slug,name,category_slug,collections,description,fabric,care_instructions,base_price,size,sku,price,sale_price,stock_qty,is_published,fabric_lot,fit_notes,hsn_code,gst_rate,image_filenames
mustard-jacquard-cotton-kurta-set,Mustard Jacquard Cotton Kurta Set,kurti-sets,signature,"A mustard jacquard cotton kurta set woven with an ivory jacquard motif throughout. The kurta has an open, notch-collar neckline and fabric-covered buttons down the front, finished with elbow-length sleeves and a straight 44-inch length. It is fully lined, with functional side pockets. The set comes with matching straight-cut pants and a jacquard cotton dupatta, edged with a woven border and finished with tassels. Includes: kurta, straight-cut pants, and dupatta. Made in India.",Jacquard cotton,"Hand wash cold, separately, or dry clean. Do not bleach. Do not wring — reshape and line dry in shade. Iron on the reverse on a low setting, avoiding the button placket and tassels.",2499,XS,VLM-KS-001-XS,2499,2250,2,true,,Relaxed through the body with a straight hem; top length 44 inches. Straight-cut pants with a relaxed leg.,,,01-front.webp;02-detail_closeup.webp
mustard-jacquard-cotton-kurta-set,Mustard Jacquard Cotton Kurta Set,kurti-sets,signature,"A mustard jacquard cotton kurta set woven with an ivory jacquard motif throughout. The kurta has an open, notch-collar neckline and fabric-covered buttons down the front, finished with elbow-length sleeves and a straight 44-inch length. It is fully lined, with functional side pockets. The set comes with matching straight-cut pants and a jacquard cotton dupatta, edged with a woven border and finished with tassels. Includes: kurta, straight-cut pants, and dupatta. Made in India.",Jacquard cotton,"Hand wash cold, separately, or dry clean. Do not bleach. Do not wring — reshape and line dry in shade. Iron on the reverse on a low setting, avoiding the button placket and tassels.",2499,S,VLM-KS-001-S,2499,2250,3,true,,Relaxed through the body with a straight hem; top length 44 inches. Straight-cut pants with a relaxed leg.,,,
mustard-jacquard-cotton-kurta-set,Mustard Jacquard Cotton Kurta Set,kurti-sets,signature,"A mustard jacquard cotton kurta set woven with an ivory jacquard motif throughout. The kurta has an open, notch-collar neckline and fabric-covered buttons down the front, finished with elbow-length sleeves and a straight 44-inch length. It is fully lined, with functional side pockets. The set comes with matching straight-cut pants and a jacquard cotton dupatta, edged with a woven border and finished with tassels. Includes: kurta, straight-cut pants, and dupatta. Made in India.",Jacquard cotton,"Hand wash cold, separately, or dry clean. Do not bleach. Do not wring — reshape and line dry in shade. Iron on the reverse on a low setting, avoiding the button placket and tassels.",2499,M,VLM-KS-001-M,2499,2250,4,true,,Relaxed through the body with a straight hem; top length 44 inches. Straight-cut pants with a relaxed leg.,,,
mustard-jacquard-cotton-kurta-set,Mustard Jacquard Cotton Kurta Set,kurti-sets,signature,"A mustard jacquard cotton kurta set woven with an ivory jacquard motif throughout. The kurta has an open, notch-collar neckline and fabric-covered buttons down the front, finished with elbow-length sleeves and a straight 44-inch length. It is fully lined, with functional side pockets. The set comes with matching straight-cut pants and a jacquard cotton dupatta, edged with a woven border and finished with tassels. Includes: kurta, straight-cut pants, and dupatta. Made in India.",Jacquard cotton,"Hand wash cold, separately, or dry clean. Do not bleach. Do not wring — reshape and line dry in shade. Iron on the reverse on a low setting, avoiding the button placket and tassels.",2499,L,VLM-KS-001-L,2499,2250,2,true,,Relaxed through the body with a straight hem; top length 44 inches. Straight-cut pants with a relaxed leg.,,,
mustard-jacquard-cotton-kurta-set,Mustard Jacquard Cotton Kurta Set,kurti-sets,signature,"A mustard jacquard cotton kurta set woven with an ivory jacquard motif throughout. The kurta has an open, notch-collar neckline and fabric-covered buttons down the front, finished with elbow-length sleeves and a straight 44-inch length. It is fully lined, with functional side pockets. The set comes with matching straight-cut pants and a jacquard cotton dupatta, edged with a woven border and finished with tassels. Includes: kurta, straight-cut pants, and dupatta. Made in India.",Jacquard cotton,"Hand wash cold, separately, or dry clean. Do not bleach. Do not wring — reshape and line dry in shade. Iron on the reverse on a low setting, avoiding the button placket and tassels.",2499,XL,VLM-KS-001-XL,2499,2250,1,true,,Relaxed through the body with a straight hem; top length 44 inches. Straight-cut pants with a relaxed leg.,,,
mustard-jacquard-cotton-kurta-set,Mustard Jacquard Cotton Kurta Set,kurti-sets,signature,"A mustard jacquard cotton kurta set woven with an ivory jacquard motif throughout. The kurta has an open, notch-collar neckline and fabric-covered buttons down the front, finished with elbow-length sleeves and a straight 44-inch length. It is fully lined, with functional side pockets. The set comes with matching straight-cut pants and a jacquard cotton dupatta, edged with a woven border and finished with tassels. Includes: kurta, straight-cut pants, and dupatta. Made in India.",Jacquard cotton,"Hand wash cold, separately, or dry clean. Do not bleach. Do not wring — reshape and line dry in shade. Iron on the reverse on a low setting, avoiding the button placket and tassels.",2499,2XL,VLM-KS-001-2XL,2499,2250,1,true,,Relaxed through the body with a straight hem; top length 44 inches. Straight-cut pants with a relaxed leg.,,,
lilac-floral-heavy-linen-kurti-set,Lilac Floral Heavy Linen Kurti Set,kurti-sets,,Description to be finalized.,Heavy Linen,Care instructions to be finalized.,,XS,VEL-KS-002-XS,,,0,false,,Fit notes to be finalized.,,,
lilac-floral-heavy-linen-kurti-set,Lilac Floral Heavy Linen Kurti Set,kurti-sets,,Description to be finalized.,Heavy Linen,Care instructions to be finalized.,,S,VEL-KS-002-S,,,0,false,,Fit notes to be finalized.,,,
lilac-floral-heavy-linen-kurti-set,Lilac Floral Heavy Linen Kurti Set,kurti-sets,,Description to be finalized.,Heavy Linen,Care instructions to be finalized.,,M,VEL-KS-002-M,,,0,false,,Fit notes to be finalized.,,,
lilac-floral-heavy-linen-kurti-set,Lilac Floral Heavy Linen Kurti Set,kurti-sets,,Description to be finalized.,Heavy Linen,Care instructions to be finalized.,,L,VEL-KS-002-L,,,0,false,,Fit notes to be finalized.,,,
lilac-floral-heavy-linen-kurti-set,Lilac Floral Heavy Linen Kurti Set,kurti-sets,,Description to be finalized.,Heavy Linen,Care instructions to be finalized.,,XL,VEL-KS-002-XL,,,0,false,,Fit notes to be finalized.,,,
lilac-floral-heavy-linen-kurti-set,Lilac Floral Heavy Linen Kurti Set,kurti-sets,,Description to be finalized.,Heavy Linen,Care instructions to be finalized.,,2XL,VEL-KS-002-2XL,,,0,false,,Fit notes to be finalized.,,,
